ID,Original_ID,Country Name,Country ISO3,Income Level,Authority,Date,Level 1 policy measures,Level 2 policy measures,Level 3 policy measures,Details of the measure,Reference,Termination Date,Modification of Parent Measure,Parent Measure,was_modified
20,22,Australia,AUS,High income,Cb,2020-03-01,Liquidity/funding,Liquidity (incl fx)/ela,,Increased liquidity provision in daily OMO,,,No,,False
21,23,Belarus,BLR,Upper middle income,Cb,2020-03-01,Banking sector,Support borrowers,Other credit repayment moratorium,"National Bank sent recommendations to the banks to use credit holidays, i.e., guidance to banks to postpone principal repayments and interest on loans.",,,No,,False
22,24,Guyana,GUY,Upper middle income,Cb,2020-03-20,Financial markets/nbfi,Market functioning,Ensure minimal functionality in the primary and secondary markets,Ensure the foreign exchange market continues to function effectively,https://www.bankofguyana.org.gy/bog/images/communications/press_release/COVID19release.pdf,,No,,False
23,25,Guyana,GUY,Upper middle income,Cb,2020-03-20,Banking sector,Support borrowers,Other credit repayment moratorium,Defer loan payments to assist customers in good standing and by companies to assist with their liquidity requirements;,https://www.bankofguyana.org.gy/bog/images/communications/press_release/COVID19release.pdf,,No,,False
24,26,Guyana,GUY,Upper middle income,Cb,2020-03-20,Banking sector,Prudential,Other prudential relaxation,"Waive or reduce fees/penalties for transactions with ATMs, POS, EFT, debit cards, loan processing, late payments on loans, etc.",https://www.bankofguyana.org.gy/bog/images/communications/press_release/COVID19release.pdf,,No,,False
25,27,Guyana,GUY,Upper middle income,Cb,2020-03-20,Payment systems,Promoting and ensuring availability of digital payment mechanisms,,"Encourage customers to reduce in-person transactions by using e-banking, ATMs, POS, telephone, etc.",https://www.bankofguyana.org.gy/bog/images/communications/press_release/COVID19release.pdf,,No,,False
26,28,Italy,ITA,High income,Sup,2020-03-01,Banking sector,Operational continuity,,Promptly identify risks on the business continuity for non systemic banks,,,No,,False
27,29,Italy,ITA,High income,Sup,2020-03-01,Financial markets/nbfi,Nbfi,Insurance,Promptly identify risks on the business continuity in the insurance sector.,,,No,,False
28,30,Brazil,BRA,Upper middle income,Cb,2020-02-20,Liquidity/funding,Liquidity (incl fx)/ela,,Reserve requirement rate for  deposits down to 25% from 31%,https://www.bcb.gov.br/detalhenoticia/16983/nota,,No,,False
29,31,Thailand,THA,Upper middle income,Cb,2020-03-02,Financial markets/nbfi,Market functioning,Market restrictions,Bank of Thailand (BOT) has relaxed foreign exchange regulations to curb the baht's strength against the US dollar,,,No,,False
30,32,Thailand,THA,Upper middle income,Cb,2020-03-02,Banking sector,Prudential,"Relaxation in npe treatment (definition, classification, provisioning)","For Financial Institutions, the BOT allows for lenient loan classification",,,No,,False
31,33,Thailand,THA,Upper middle income,Cb,2020-03-02,Banking sector,Prudential,"Relaxation in npe treatment (definition, classification, provisioning)","For Financial Institutions, the BOT allows for holding Non-Performing Assets (NPA) for longer period without additional provision",,,No,,False
32,34,Thailand,THA,Upper middle income,Cb,2020-03-02,Banking sector,Prudential,Other prudential flexibility,"For Financial Institutions, the BOT allows for renting NPA while waiting for selling process",,,No,,False
33,35,Australia,AUS,High income,Cb,2020-03-03,Liquidity/funding,Policy rate,,"Repo rate rate cut, 25bp, to 0.5%",https://www.rba.gov.au/media-releases/2020/mr-20-06.html,,No,,False
34,43,Malaysia,MYS,Upper middle income,Cb,2020-03-03,Liquidity/funding,Policy rate,,"As of 3/3, Monetary Policy Committee (MPC) of Bank Negara Malaysia decided to reduce the Overnight Policy Rate (OPR) by 25 basis points to 2.50%. The ceiling and floor rates of the corridor of the OPR are correspondingly reduced to 2.75% and 2.25%, respectively.",https://www.thestar.com.my/business/business-news/2020/03/03/bank-negara-lowers-opr-by-25bps-to-25,,No,,False
35,48,Canada,CAN,High income,Cb,2020-03-04,Liquidity/funding,Policy rate,,"Repo rate rate cut, 50bp, to 1.250%",https://www.bloomberg.com/news/articles/2020-03-04/bank-of-canada-cuts-rates-50-basis-points-stands-ready-for-more,,No,,False
36,49,"Hong kong sar, china",HKG,High income,Cb,2020-03-04,Liquidity/funding,Policy rate,,"Repo rate rate cut, 50bp, to 1.50%",https://www.bloomberg.com/news/articles/2020-03-03/hong-kong-cuts-base-rate-following-fed-s-emergency-move,,No,,False
37,50,"Korea, rep.",KOR,High income,Sup,2020-03-04,Financial markets/nbfi,Market functioning,Ensure minimal functionality in the primary and secondary markets,Financial Services Commission (FSC) set up an emergency financial market monitoring and response system on to closely monitor financial market conditions and provide appropriate support to the businesses affected by the spread of COVID-19.,https://twitter.com/FSC_Korea/status/1235426912043798528,,No,,False
38,51,Thailand,THA,Upper middle income,Gov,2020-03-04,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments","State-owned Government Savings Bank (GSB) has allocated 150 billion baht (US$4.5 billion) worth of low-interest loans.  The GSB will lend to commercial banks with a lowered interest rate if just 0.01%, allowing commercial banks to grant loans to businesses with an interest rate of 2%. Businesses can receive this rate for the first two years on the first 20 million baht (US$612,000).",https://www.aseanbriefing.com/news/thailand-issues-incentives-counter-covid-19-impact-phase-one/,,No,,False
39,52,Thailand,THA,Upper middle income,Other,2020-03-04,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments",The Social Security Office (SSO) has provided 30 billion baht (US$918 million) worth of soft loans with the  interest rate set at��3% for SSO-registered entrepreneurs.,https://www.aseanbriefing.com/news/thailand-issues-incentives-counter-covid-19-impact-phase-one/,,No,,False
40,53,Argentina,ARG,Upper middle income,Cb,2020-03-05,Liquidity/funding,Policy rate,,Decrease in the policy LEIQ rate to 38%,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/argentine-central-bank-lowers-benchmark-rate-to-38-57447674,,No,,False
41,54,Azerbaijan,AZE,Upper middle income,Gov,2020-03-13,Banking sector,Crisis management,Strengthen crisis management framework,"Postponed the phase-out of the deposit insurance blanket guarantee for another year (until December 4, 2020). The blanket guarantee was introduced in 2016 to deal with the crisis faced by the country at that time, and was scheduled to be phased out in March 2020.",https://www.cbar.az/press-release-2527/on-extension-of-blanket-guarantee,2020-12-04,No,,False
42,55,Jordan,JOR,Upper middle income,Cb,2020-03-04,Liquidity/funding,Policy rate,,"The Central Bank of Jordan (CBJ) has decided to lower interest rates on all monetary policy instruments by 50 basis point as of Thursday, March 5, 2020",https://www.cbj.gov.jo/DetailsPage/CBJEn/NewsDetails.aspx?ID=272,,No,,False
43,56,Japan,JPN,High income,Sup,2020-03-06,Banking sector,Operational continuity,,"Secure operational and business continuity by Reviewing Business Continuity Plan (BCP) of 2,568 financial institutions",,,No,,False
44,58,Indonesia,IDN,Lower middle income,Sup,2020-03-09,Financial markets/nbfi,Market functioning,Ensure minimal functionality in the primary and secondary markets,"To ease stock market volatility, the regulator OJK has introduced a new share buyback policy (allowing listed companies to repurchase their shares without a prior shareholders' meeting) and introduced��limits��on stock price declines.��",,,No,,False
45,60,Mexico,MEX,Upper middle income,Cb,2020-03-09,Financial markets/nbfi,Market functioning,Ensure minimal functionality in the primary and secondary markets,Expansion of foreign exchange hedging program from a total of 20 billion USD to 30 billion USD,https://www.reuters.com/article/us-mexico-peso/mexico-central-bank-props-up-battered-peso-rates-outlook-uncertain-idUSKBN20W32Q,,No,,False
46,61,West bank and gaza,PSE,Lower middle income,Cb,2020-03-09,Payment systems,Consumer protection measures and ensuring availability and acceptance of cash,,Exempt e banking and ATM fees for six months,http://www.pma.ps/Default.aspx?tabid=938&language=ar-EG,,No,,False
47,62,West bank and gaza,PSE,Lower middle income,Cb,2020-03-09,Payment systems,Promoting and ensuring availability of digital payment mechanisms,,Authorities requested financial institutions and customers to promote and use electronic channels,http://www.pma.ps/Portals/1/Users/002/02/2/Circulars/2020/%D8%AA%D8%B9%D9%85%D9%8A%D9%85%2073-2020.pdf,,No,,False
48,63,Bahrain,BHR,High income,Cb,2020-03-16,Liquidity/funding,Policy rate,,"Cut key interest rates. The CBB's key policy interest rate on the one-week deposit facility is cut from 1.75% to 1.00%.  The CBB has also decided to cut the overnight deposit rate from 1.50% to 0.75%, the one-month deposit rate from 2.20% to 1.45%, and the CBB lending rate from 2.45% to 1.70%.",https://www.cbb.gov.bh/media-center/cbb-cuts-key-interest-rate-4/,,No,,False
49,64,Cambodia,KHM,Lower middle income,Other,2020-02-25,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments",US$50 million capital injection for the Rural Development Bank for low-interest loans to help agricultural SMEs,https://www.aseanbriefing.com/news/cambodia-issues-regulations-businesses-impacted-covid-19-eba/,,No,,False
50,65,Mauritius,MUS,Upper middle income,Cb,2020-03-10,Liquidity/funding,Policy rate,,"On Tuesday 10th of March 2020, the Monetary Policy Committee of the Bank of Mauritius reduced the Key Repo Rate (KRR) by 50 basis points to 2.85 per cent per annum.",https://www.bom.mu/monetary-policy/interest-rate-decisions/monetary-policy-committee-bank-mauritius-cuts-key-repo-rate-50-basis-points,,No,,False
51,66,Qatar,QAT,High income,Cb,2020-03-16,Liquidity/funding,Policy rate,,"Cut key interest rates, repo rate from 1.5% to 1%, the lending rate has been reduced by 175 bps to 2.5 percent; and the deposit rate has been reduced by 100bps to 1 percent",http://www.qcb.gov.qa/English/pages/interestrates.aspx,,No,,False
52,67,Russian federation,RUS,Upper middle income,Cb,2020-03-10,Liquidity/funding,Liquidity (incl fx)/ela,,Increased the limit on its FX swap operations to provide US dollars with the maturity date of 'today'  to 5 billion US dollars,https://cbr.ru/eng/press/event/?id=6490,,No,,False
53,68,Saudi arabia,SAU,High income,Cb,2020-03-03,Liquidity/funding,Policy rate,,"In light of global developments, the Saudi Arabian Monetary Authority (SAMA) has decided to cut the REPO rate by 50 basis points from 2.25% to 1.75% and the REVERSE REPO rate by 50 basis points from 1.75% to 1.25%",http://www.sama.gov.sa/en-US/News/Pages/News-508.aspx,,No,,False
54,69,South africa,ZAF,Upper middle income,Gov,2020-03-10,Banking sector,Operational continuity,,Monitoring of institution preparedness and identify possible systemic impact.,,,No,,False
55,70,Thailand,THA,Upper middle income,Mof,2020-03-10,Financial markets/nbfi,Market functioning,Ensure minimal functionality in the primary and secondary markets,"Capital market representatives have received approval from the Finance Ministry for a tax-deductible equity investment incentive through the Super Savings Fund (SSF) mechanism, aiming to stabilise a shell-shocked market.",https://www.bangkokpost.com/business/1876004/ssf-deduction-to-revive-sentiment,,No,,False
56,71,United kingdom,GBR,High income,Sup,2020-03-10,Financial markets/nbfi,Nbfi,Pensions,"The pensions regulator in UK (TPR) has recently published guidance to help UK pension trustees, employers and administrators deal with the financial and regulatory risks posed by coronavirus.",https://www.thepensionsregulator.gov.uk/en/covid-19-coronavirus-what-you-need-to-consider/db-scheme-funding-and-investment-covid-19-guidance-for-trustees/guidance-for-db-scheme-trustees-whose-sponsoring-employers-are-in-corporate-distress,,No,,False
57,72,United arab emirates,ARE,High income,Cb,2020-03-04,Liquidity/funding,Policy rate,,The Repo Rate applicable to borrowing short term liquidity from CBUAE against Certificates of Deposits has been decreased by 50 basis points.,https://www.centralbank.ae/sites/default/files/2020-03/PressStatement1March.pdf,,No,,False
58,73,China,CHN,Upper middle income,Sup,2020-03-03,Financial markets/nbfi,Nbfi,Insurance,Commercial insurance companies will be supported in offering short-term export credit insurance and lowering premium rates.,https://www.china-briefing.com/news/china-covid-19-policy-tracker-benefiting-business-enterprises-comprehensive-updated-list/,,No,,False
59,74,Italy,ITA,High income,Mof,2020-03-11,Banking sector,Support borrowers,State guarantees on loans,Adding money to a fund guaranteeing loans to small and medium businesses,https://www.italicom.net/primo-piano/gruppo-cdp-nuove-misure-a-sostegno-delle-imprese-in-conseguenza-dellemergenza-coronavirus/,,No,,False
60,75,Italy,ITA,High income,Mof,2020-03-11,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments",Provide money to companies who have been hit especially hard by the virus,,,No,,False
61,76,Japan,JPN,High income,Mof,2020-03-11,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments",Package of $15 billion for small business loans,,,Other,11.0,True
62,77,Mongolia,MNG,Lower middle income,Cb,2020-03-11,Liquidity/funding,Liquidity (incl fx)/ela,,MNT reserve requirement of banks reduced by 200 basis points to 8.5%. The lower reserve requirement released MNT 324 billion (0.8% of GDP) of additional liquidity in the banking system,https://www.mongolbank.mn/eng/news.aspx?tid=1&id=2466,,No,,False
63,78,Mongolia,MNG,Lower middle income,Cb,2020-03-11,Liquidity/funding,Policy rate,,Interest rate corridor/ban (a measure to keep the interbank market rate as close as possible to the policy rate) narrowed to +/-1 pp point from +/-2 pp,https://www.mongolbank.mn/eng/news.aspx?tid=1&id=2466,,No,,False
64,79,Mongolia,MNG,Lower middle income,Cb,2020-03-11,Liquidity/funding,Policy rate,,Policy rate reduced by 100 bps to 10%,https://www.mongolbank.mn/eng/news.aspx?tid=1&id=2466,,No,,False
65,80,"Korea, rep.",KOR,High income,Sup,2020-03-11,Banking sector,Support borrowers,Other credit repayment moratorium,"The FSC announced on March 11, 2020 loan deferment programs for 6 months for the financially vulnerable individuals affected by the COVID-19 outbreak.",https://www.fsc.go.kr/eng/new_press/releases.jsp?menu=01&bbsid=BBS0048&selYear=&sch1=&sword=&nxPage=8,,No,,False
66,81,United kingdom,GBR,High income,Cb,2020-03-11,Liquidity/funding,Policy rate,,"Repo rate, cut 50bp, to 0.25%",https://www.cnbc.com/2020/03/11/bank-of-england-cuts-main-interest-rate.html,,No,,False
67,82,United states,USA,High income,Cb,2020-03-11,Liquidity/funding,Liquidity (incl fx)/ela,,Announced $1.5 trillion in repo operations,https://www.newyorkfed.org/markets/opolicy/operating_policy_200312a,,No,,False
68,85,Canada,CAN,High income,Cb,2020-03-12,Liquidity/funding,Liquidity (incl fx)/ela,,Bank of Canada announced the expansion of its Bond Buyback Program and Term Repo Operations,https://www.bankofcanada.ca/2020/03/expansion-bond-buyback-term-repo/,,No,,False
69,105,Germany,DEU,High income,Sup,2020-03-12,Banking sector,Operational continuity,,Evaluation of emergency plans of firms performing functions as market maker or liquidity provider on trading venues.,,,No,,False
70,128,Mexico,MEX,Upper middle income,Cb,2020-03-12,Liquidity/funding,Liquidity (incl fx)/ela,,"On March 12th, Banxico auctioned US$2 billlion FX hedges to promote liquidity conditions. SHCP carried out a government securities swap operation.",,,No,,False
71,133,Serbia,SRB,Upper middle income,Cb,2020-03-12,Liquidity/funding,Policy rate,,Cut benchmark rate by 50bps to 1.75%,https://inter.capital/flash-news/national-bank-of-serbia-cuts-benchmark-interest-rate-to-1-75/,,No,,False
72,149,Bulgaria,BGR,Upper middle income,Gov,2020-03-13,Financial markets/nbfi,Market functioning,Regulatory measures,"Extension of deadlines for disclosure of financial statements and information and holding general meetings of public companies and issuers. Reported relief measures for fund managers (submission of reports and other information). Extension of time limits for disclosure of financial statements and information by investment intermediaries, market operator and the entry into force of a specific paragraph.",https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=147150,,No,,False
73,150,Bulgaria,BGR,Upper middle income,Gov,2020-03-13,Financial markets/nbfi,Nbfi,Pensions,Extension of deadlines for submiting supervisory data and public disclosure of information by pension insurance companies,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=147150,,No,,False
74,151,Bulgaria,BGR,Upper middle income,Gov,2020-03-13,Financial markets/nbfi,Nbfi,Insurance,Extension of deadlines for submiting monthly supervisory data by insurers,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=147150,,No,,False
75,152,Canada,CAN,High income,Cb,2020-03-13,Liquidity/funding,Policy rate,,50 basis point rate cute to 0.750%.,,,No,,False
76,154,Croatia,HRV,High income,Cb,2020-03-13,Financial markets/nbfi,Public debt management,Adjusting funding strategy,Purchasing bonds of Republic of Croatia  with an aim of maintaining stability in the market of government securities,https://www.hnb.hr/-/savjet-hnb-a-hrvatska-narodna-banka-najavljuje-strukturnu-operaciju-i-zapocinje-kupovati-obveznice-rh,,No,,False
77,155,Georgia,GEO,Upper middle income,Other,2020-03-13,Banking sector,Support borrowers,Mandatory credit repayment moratorium,"Credit organizations (all banks and several MFIs) announced three months grace period on loan repayments for all retail customers and practically all small businesses, as well as for those large businesses that were affected by the virus the most",https://agenda.ge/en/news/2020/778,,No,,False
78,156,Germany,DEU,High income,Sup,2020-03-13,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments",Existing liquidity assistance programmes will be expanded to make it easier for companies to access cheap loans. This can mobilise a large volume of liquidity-enhancing loans from commercial banks.,,,No,,False
79,157,India,IND,Lower middle income,Cb,2020-03-12,Liquidity/funding,Liquidity (incl fx)/ela,,Rupee liquidity to the system by a 7-day variable rate repo auction,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=49509,,No,,False
80,158,Indonesia,IDN,Lower middle income,Cb,2020-03-13,Banking sector,Support borrowers,Encourage restructuring of loans,"Rules governing loan restructuring for SMEs will be eased, allowing local banks to restructure loans regardless of credit ceiling limits",https://www.aseanbriefing.com/news/indonesia-issues-second-stimulus-package-dampen-covid-19-impact/,,No,,False
81,159,Indonesia,IDN,Lower middle income,Cb,2020-03-13,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments","SMEs with good credit history and capacity to pay back are eligible for loans of up to 10 billion rupiah (US$655,000)",https://www.aseanbriefing.com/news/indonesia-issues-second-stimulus-package-dampen-covid-19-impact/,,No,,False
82,160,Mauritius,MUS,Upper middle income,Cb,2020-03-13,Liquidity/funding,Liquidity (incl fx)/ela,,"The Bank of Mauritius is reducing with immediate effect, until further notice, the Cash Reserve Ratio applicable to commercial banks from 9 per cent to 8 per cent.",https://www.bom.mu/media/actions-regarding-covid-19/bank-mauritius-introduces-support-programme-accompany-local-economic-operators-covid-19,,No,,False
83,161,Mauritius,MUS,Upper middle income,Cb,2020-03-13,Banking sector,Prudential,"Relaxation in npe treatment (definition, classification, provisioning)","The Bank of Mauritius has put on hold the Guideline on Credit Impairment Measurement and Income Recognition, which was effective since January 2020.",https://www.bom.mu/media/actions-regarding-covid-19/bank-mauritius-introduces-support-programme-accompany-local-economic-operators-covid-19,,No,,False
84,162,Mauritius,MUS,Upper middle income,Cb,2020-03-13,Banking sector,Support borrowers,Other credit repayment moratorium,Commercial banks will provide a moratorium of 6 months on capital repayment for existing loans for economic operators that are being affected by COVID-19.,https://www.bom.mu/media/actions-regarding-covid-19/bank-mauritius-introduces-support-programme-accompany-local-economic-operators-covid-19,,No,,False
85,163,Myanmar,MMR,Lower middle income,Cb,2020-03-16,Liquidity/funding,Policy rate,,The Central Bank of Myanmar (CBM) cut the policy interest rate by 0.5% (effective March 16).  Deposit auctions have been halted to maintain adequate liquidity in the interbank market.,https://www.mmtimes.com/news/myanmar-central-bank-cuts-interest-rate-further-1.html,,No,,False
86,164,Slovak republic,SVK,High income,Cb,2020-03-13,Banking sector,Prudential,"Release/defer capital buffers (conservation, counter-cyclical, systemic)","Banks may, in duly  justified cases, temporarily operate below the level of capital defined by the capital conservation buffer (CCoB), which is currently set at 2.5%.",https://www.nbs.sk/en/press/all-press-releases/press-releases-common/press-release/_nbs-and-financial-sector-response-to-the-coronavirus-pandemic,,No,,False
87,165,Turkey,TUR,Upper middle income,Cb,2020-03-13,Banking sector,Operational continuity,,Evaluation of business continuity and emergency plans to ensure that regulated corporations could provide continued service and they are operationally ready to respond to the possible pandemic outbreak.,,,No,,False
88,166,Philippines,PHL,Lower middle income,Cb,2020-03-14,Banking sector,Prudential,Reduce non-essential regulatory reporting requirements for banks,"Bangko Sentral ng Pilipinas(BSP) has announced a series of regulatory relief measures for the banking sector, including a temporary relaxation of requirements on compliance reporting,",http://www.bsp.gov.ph/regulations/regulations.asp?id=4277,,No,,False
89,167,Philippines,PHL,Lower middle income,Cb,2020-03-14,Banking sector,Prudential,"Ease credit exposure limits (large exposures, credit limits)","Bangko Sentral ng Pilipinas(BSP) has announced a series of regulatory relief measures for the banking sector, including a temporary relaxation of requirements on single borrower limits.",http://www.bsp.gov.ph/regulations/regulations.asp?id=4277,,No,,False
90,168,Philippines,PHL,Lower middle income,Cb,2020-03-14,Liquidity/funding,Liquidity (incl fx)/ela,,"Bangko Sentral ng Pilipinas(BSP) has announced a series of regulatory relief measures for the banking sector, including easier access to the BSP's rediscounting facility.",http://www.bsp.gov.ph/regulations/regulations.asp?id=4277,,No,,False
91,169,Philippines,PHL,Lower middle income,Cb,2020-03-14,Banking sector,Prudential,"Relaxation in npe treatment (definition, classification, provisioning)","Bangko Sentral ng Pilipinas(BSP) has announced a series of regulatory relief measures for the banking sector, including a temporary relaxation of provisioning requirements (subject to the BSP approval).",http://www.bsp.gov.ph/regulations/regulations.asp?id=4277,,No,,False
